"zebrafish_ensembl","zebrafish_symbol","human_ensembl","human_symbol","orthology_type"
"ENSDARG00000015566","DNMT3AB","ENSG00000119772","DNMT3A","ortholog_one2many"
"ENSDARG00000015567","ZIC1","ENSG00000152977","ZIC1","ortholog_one2one"
"ENSDARG00000015575","CYP3C1","ENSG00000160868","CYP3A4","ortholog_many2many"
"ENSDARG00000015575","CYP3C1","ENSG00000160870","CYP3A7","ortholog_many2many"
"ENSDARG00000015575","CYP3C1","ENSG00000021461","CYP3A43","ortholog_many2many"
"ENSDARG00000015575","CYP3C1","ENSG00000106258","CYP3A5","ortholog_many2many"
"ENSDARG00000015576","ITPRIP","ENSG00000148841","ITPRIP","ortholog_one2many"
"ENSDARG00000015589","ANKRD33BB","ENSG00000164236","ANKRD33B","ortholog_one2many"
"ENSDARG00000015592","C1QL2","ENSG00000144119","C1QL2","ortholog_one2one"
"ENSDARG00000015610","TUBG1","ENSG00000131462","TUBG1","ortholog_one2one"
"ENSDARG00000015611","RASL11B","ENSG00000128045","RASL11B","ortholog_one2one"
"ENSDARG00000015623","ADA2B","ENSG00000093072","ADA2","ortholog_one2many"
"ENSDARG00000015627","RGS6","ENSG00000182732","RGS6","ortholog_one2one"
"ENSDARG00000015628","PSMD10","ENSG00000101843","PSMD10","ortholog_one2one"
"ENSDARG00000015638","GEMIN2","ENSG00000092208","GEMIN2","ortholog_one2one"
"ENSDARG00000015649","RAP2C","ENSG00000123728","RAP2C","ortholog_one2one"
"ENSDARG00000015653","TNIP1","ENSG00000145901","TNIP1","ortholog_one2one"
"ENSDARG00000015662","PLA2G12B","ENSG00000138308","PLA2G12B","ortholog_one2one"
"ENSDARG00000015676","NMD3","ENSG00000169251","NMD3","ortholog_one2one"
"ENSDARG00000015678","IFI44B","ENSG00000137959","IFI44L","ortholog_many2many"
"ENSDARG00000015678","IFI44B","ENSG00000137965","IFI44","ortholog_many2many"
"ENSDARG00000015681","GSK3AB","ENSG00000105723","GSK3A","ortholog_one2many"
"ENSDARG00000015686","BMP6","ENSG00000153162","BMP6","ortholog_one2one"
"ENSDARG00000015707","DVL3A","ENSG00000161202","DVL3","ortholog_one2many"
"ENSDARG00000015709","HSD17B12A","ENSG00000149084","HSD17B12","ortholog_one2many"
"ENSDARG00000015731","ANO5A","ENSG00000171714","ANO5","ortholog_one2many"
"ENSDARG00000015734","AICDA","ENSG00000111732","AICDA","ortholog_one2one"
"ENSDARG00000015747","AARSD1","ENSG00000266967","AARSD1","ortholog_one2one"
"ENSDARG00000015749","HPS3","ENSG00000163755","HPS3","ortholog_one2one"
"ENSDARG00000015752","ZAP70","ENSG00000115085","ZAP70","ortholog_one2one"
"ENSDARG00000015757","TMEM50A","ENSG00000183726","TMEM50A","ortholog_one2one"
"ENSDARG00000015759","TSPAN6","ENSG00000000003","TSPAN6","ortholog_one2one"
"ENSDARG00000015765","IAH1","ENSG00000134330","IAH1","ortholog_one2one"
"ENSDARG00000015780","ANKRD46B","ENSG00000186106","ANKRD46","ortholog_one2many"
"ENSDARG00000015790","ATP1B3A","ENSG00000069849","ATP1B3","ortholog_one2many"
"ENSDARG00000015793","CREB3L1","ENSG00000157613","CREB3L1","ortholog_one2one"
"ENSDARG00000015805","CGNL1","ENSG00000128849","CGNL1","ortholog_one2one"
"ENSDARG00000015807","RAB22A","ENSG00000124209","RAB22A","ortholog_one2one"
"ENSDARG00000015822","SESN3","ENSG00000149212","SESN3","ortholog_one2one"
"ENSDARG00000015823","VPS26B","ENSG00000151502","VPS26B","ortholog_one2many"
"ENSDARG00000015824","LEMD3","ENSG00000174106","LEMD3","ortholog_one2one"
"ENSDARG00000015829","MOV10A","ENSG00000155363","MOV10","ortholog_one2many"
"ENSDARG00000015851","PNN","ENSG00000100941","PNN","ortholog_one2one"
"ENSDARG00000015854","CHATA","ENSG00000070748","CHAT","ortholog_one2one"
"ENSDARG00000015860","MTMR9","ENSG00000104643","MTMR9","ortholog_one2one"
"ENSDARG00000015862","RPL5B","ENSG00000122406","RPL5","ortholog_one2many"
"ENSDARG00000015863","SOCS6B","ENSG00000170677","SOCS6","ortholog_one2many"
"ENSDARG00000015869","SLC22A16","ENSG00000004809","SLC22A16","ortholog_one2one"
"ENSDARG00000015876","NPAS1","ENSG00000130751","NPAS1","ortholog_one2one"
"ENSDARG00000015879","PAX8","ENSG00000125618","PAX8","ortholog_one2one"
"ENSDARG00000015889","ZC3H15","ENSG00000065548","ZC3H15","ortholog_one2one"
"ENSDARG00000015890","MAFA","ENSG00000178573","MAF","ortholog_one2many"
"ENSDARG00000015891","PTPREA","ENSG00000132334","PTPRE","ortholog_one2many"
"ENSDARG00000015901","PTBP2B","ENSG00000117569","PTBP2","ortholog_one2many"
"ENSDARG00000015902","STAT6","ENSG00000166888","STAT6","ortholog_one2one"
"ENSDARG00000015905","LZTR1","ENSG00000099949","LZTR1","ortholog_one2one"
"ENSDARG00000015906","MXTX2","ENSG00000260596","DUX4","ortholog_one2many"
"ENSDARG00000015907","DCBLD1","ENSG00000164465","DCBLD1","ortholog_one2one"
"ENSDARG00000015917","RNFT1","ENSG00000189050","RNFT1","ortholog_one2one"
"ENSDARG00000015918","DLAT","ENSG00000150768","DLAT","ortholog_one2one"
"ENSDARG00000015921","PWP1","ENSG00000136045","PWP1","ortholog_one2one"
"ENSDARG00000015930","RWDD1","ENSG00000111832","RWDD1","ortholog_one2one"
"ENSDARG00000015931","SNAP91B","ENSG00000065609","SNAP91","ortholog_one2many"
"ENSDARG00000015937","KPTN","ENSG00000118162","KPTN","ortholog_one2one"
"ENSDARG00000015946","SLC44A1A","ENSG00000143036","SLC44A3","ortholog_many2many"
"ENSDARG00000015947","MATN4","ENSG00000124159","MATN4","ortholog_one2one"
"ENSDARG00000015966","YAF2","ENSG00000015153","YAF2","ortholog_one2one"
"ENSDARG00000015970","PHIP","ENSG00000146247","PHIP","ortholog_one2one"
"ENSDARG00000015971","RAPGEF1B","ENSG00000107263","RAPGEF1","ortholog_one2many"
"ENSDARG00000015978","COX5BA","ENSG00000135940","COX5B","ortholog_one2many"
"ENSDARG00000015985","ABCC9","ENSG00000069431","ABCC9","ortholog_one2one"
"ENSDARG00000015989","ZDHHC16B","ENSG00000171307","ZDHHC16","ortholog_one2many"
"ENSDARG00000015990","HCFC1A","ENSG00000162755","KLHDC9","ortholog_many2many"
"ENSDARG00000015997","MFSD5","ENSG00000182544","MFSD5","ortholog_one2one"
"ENSDARG00000015998","WDHD1","ENSG00000198554","WDHD1","ortholog_one2one"
"ENSDARG00000016010","NUP107","ENSG00000111581","NUP107","ortholog_one2one"
"ENSDARG00000016011","GPCPD1","ENSG00000125772","GPCPD1","ortholog_one2one"
"ENSDARG00000016016","DBNLB","ENSG00000136279","DBNL","ortholog_one2many"
"ENSDARG00000016022","ZIC5","ENSG00000139800","ZIC5","ortholog_one2one"
"ENSDARG00000016038","HACD3","ENSG00000074696","HACD3","ortholog_one2one"
"ENSDARG00000016044","GINS4","ENSG00000147536","GINS4","ortholog_one2one"
"ENSDARG00000016056","MHC1LAA","ENSG00000131019","ULBP3","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000164520","RAET1E","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000158477","CD1A","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000158481","CD1C","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000155918","RAET1L","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000158473","CD1D","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000158488","CD1E","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000111981","ULBP1","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000131015","ULBP2","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000203722","RAET1G","ortholog_many2many"
"ENSDARG00000016056","MHC1LAA","ENSG00000158485","CD1B","ortholog_many2many"
"ENSDARG00000016058","FIBPA","ENSG00000172500","FIBP","ortholog_one2many"
"ENSDARG00000016074","CRYZ","ENSG00000116791","CRYZ","ortholog_one2one"
"ENSDARG00000016080","NOB1","ENSG00000141101","NOB1","ortholog_one2one"
"ENSDARG00000016085","MBNL3","ENSG00000076770","MBNL3","ortholog_one2one"
"ENSDARG00000016086","SMURF1","ENSG00000198742","SMURF1","ortholog_one2many"
"ENSDARG00000016089","BICRAL","ENSG00000112624","BICRAL","ortholog_one2one"
"ENSDARG00000016093","QTRT2","ENSG00000151576","QTRT2","ortholog_one2one"
"ENSDARG00000016095","HTR6","ENSG00000158748","HTR6","ortholog_one2one"
"ENSDARG00000016112","BBS12","ENSG00000181004","BBS12","ortholog_one2one"
"ENSDARG00000016117","EXD2","ENSG00000081177","EXD2","ortholog_one2one"
"ENSDARG00000016122","PTRHD1","ENSG00000184924","PTRHD1","ortholog_one2one"
"ENSDARG00000016128","AP3M2","ENSG00000070718","AP3M2","ortholog_one2one"
"ENSDARG00000016138","NME6","ENSG00000172113","NME6","ortholog_one2one"
"ENSDARG00000016139","MKKS","ENSG00000125863","MKKS","ortholog_one2one"
"ENSDARG00000016141","SLC6A2","ENSG00000103546","SLC6A2","ortholog_one2one"
"ENSDARG00000016143","XIAP","ENSG00000101966","XIAP","ortholog_many2many"
"ENSDARG00000016153","DAG1","ENSG00000173402","DAG1","ortholog_one2one"
"ENSDARG00000016154","ZFP36L1A","ENSG00000185650","ZFP36L1","ortholog_one2many"
"ENSDARG00000016156","FAM53B","ENSG00000189319","FAM53B","ortholog_one2one"
"ENSDARG00000016160","GMPR","ENSG00000137198","GMPR","ortholog_one2one"
"ENSDARG00000016161","CCDC170","ENSG00000120262","CCDC170","ortholog_one2one"
"ENSDARG00000016163","USP33","ENSG00000077254","USP33","ortholog_one2one"
"ENSDARG00000016173","CCT3","ENSG00000163468","CCT3","ortholog_one2one"
"ENSDARG00000016181","TRIM33","ENSG00000197323","TRIM33","ortholog_one2one"
"ENSDARG00000016188","SBNO2B","ENSG00000064932","SBNO2","ortholog_one2many"
"ENSDARG00000016200","TRIB3","ENSG00000101255","TRIB3","ortholog_one2one"
"ENSDARG00000016213","ZMP:0000001048","ENSG00000159231","CBR3","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000131019","ULBP3","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000164520","RAET1E","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000158477","CD1A","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000158481","CD1C","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000155918","RAET1L","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000158473","CD1D","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000158488","CD1E","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000111981","ULBP1","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000131015","ULBP2","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000203722","RAET1G","ortholog_many2many"
"ENSDARG00000016227","MHC1LBA","ENSG00000158485","CD1B","ortholog_many2many"
"ENSDARG00000016231","BCAP29","ENSG00000075790","BCAP29","ortholog_one2one"
"ENSDARG00000016233","SDR16C5A","ENSG00000170786","SDR16C5","ortholog_one2many"
"ENSDARG00000016238","ARL6IP5B","ENSG00000144746","ARL6IP5","ortholog_one2many"
"ENSDARG00000016239","PSMD13","ENSG00000185627","PSMD13","ortholog_one2one"
"ENSDARG00000016253","RALAB","ENSG00000006451","RALA","ortholog_one2many"
"ENSDARG00000016255","CHMP4BA","ENSG00000101421","CHMP4B","ortholog_many2many"
"ENSDARG00000016255","CHMP4BA","ENSG00000258469","CHMP4BP1","ortholog_many2many"
"ENSDARG00000016256","NUDT3A","ENSG00000272325","NUDT3","ortholog_one2many"
"ENSDARG00000016260","FXR2","ENSG00000129245","FXR2","ortholog_one2one"
"ENSDARG00000016263","ZDHHC5A","ENSG00000156599","ZDHHC5","ortholog_one2many"
"ENSDARG00000016280","EIF1AD","ENSG00000175376","EIF1AD","ortholog_one2one"
"ENSDARG00000016290","CLCA1","ENSG00000016490","CLCA1","ortholog_one2many"
"ENSDARG00000016302","UPF1","ENSG00000005007","UPF1","ortholog_one2one"
"ENSDARG00000016304","TFDP1B","ENSG00000198176","TFDP1","ortholog_one2many"
"ENSDARG00000016307","MRPL46","ENSG00000259494","MRPL46","ortholog_one2one"
"ENSDARG00000016311","DOCK9B","ENSG00000088387","DOCK9","ortholog_one2many"
"ENSDARG00000016318","MED7","ENSG00000155868","MED7","ortholog_one2one"
"ENSDARG00000016319","C9","ENSG00000113600","C9","ortholog_one2one"
"ENSDARG00000016336","TMCO6","ENSG00000113119","TMCO6","ortholog_one2one"
"ENSDARG00000016337","LCTLB","ENSG00000188501","LCTL","ortholog_one2many"
"ENSDARG00000016343","METTL21E","ENSG00000250878","METTL21EP","ortholog_one2one"
"ENSDARG00000016345","NCOA5","ENSG00000124160","NCOA5","ortholog_one2one"
"ENSDARG00000016348","DIP2BB","ENSG00000066084","DIP2B","ortholog_one2many"
"ENSDARG00000016350","CAP1","ENSG00000131236","CAP1","ortholog_one2one"
"ENSDARG00000016360","KPNA1","ENSG00000114030","KPNA1","ortholog_one2one"
"ENSDARG00000016364","GNA15.1","ENSG00000088256","GNA11","ortholog_many2many"
"ENSDARG00000016364","GNA15.1","ENSG00000214415","GNAT3","ortholog_many2many"
"ENSDARG00000016364","GNA15.1","ENSG00000060558","GNA15","ortholog_many2many"
"ENSDARG00000016368","ZBTB8OS","ENSG00000176261","ZBTB8OS","ortholog_one2one"
"ENSDARG00000016375","ASNS","ENSG00000070669","ASNS","ortholog_one2one"
"ENSDARG00000016391","CALCOCO1B","ENSG00000012822","CALCOCO1","ortholog_one2many"
"ENSDARG00000016396","FAM219AA","ENSG00000164970","FAM219A","ortholog_one2many"
"ENSDARG00000016399","RIOK1","ENSG00000124784","RIOK1","ortholog_one2one"
"ENSDARG00000016404","PTCH1","ENSG00000185920","PTCH1","ortholog_one2many"
"ENSDARG00000016412","AGT","ENSG00000135744","AGT","ortholog_one2one"
"ENSDARG00000016415","DHTKD1","ENSG00000181192","DHTKD1","ortholog_one2one"
"ENSDARG00000016427","FIGNL1","ENSG00000132436","FIGNL1","ortholog_one2one"
"ENSDARG00000016429","FARP2","ENSG00000006607","FARP2","ortholog_one2one"
"ENSDARG00000016439","SLC7A1A","ENSG00000139514","SLC7A1","ortholog_one2many"
"ENSDARG00000016443","EIF3C","ENSG00000184110","EIF3C","ortholog_one2many"
"ENSDARG00000016443","EIF3C","ENSG00000205609","EIF3CL","ortholog_one2many"
"ENSDARG00000016447","YTHDF1","ENSG00000149658","YTHDF1","ortholog_one2one"
"ENSDARG00000016454","ESR2A","ENSG00000140009","ESR2","ortholog_one2many"
"ENSDARG00000016457","IRF9","ENSG00000213928","IRF9","ortholog_many2many"
"ENSDARG00000016460","FUT9A","ENSG00000172461","FUT9","ortholog_one2many"
"ENSDARG00000016463","TRAPPC6B","ENSG00000182400","TRAPPC6B","ortholog_one2one"
"ENSDARG00000016464","CDC42BPAB","ENSG00000143776","CDC42BPA","ortholog_one2many"
"ENSDARG00000016470","ANXA5B","ENSG00000164111","ANXA5","ortholog_one2many"
"ENSDARG00000016474","GALCB","ENSG00000054983","GALC","ortholog_one2many"
"ENSDARG00000016477","EIF4A2","ENSG00000156976","EIF4A2","ortholog_one2one"
"ENSDARG00000016479","UGT5A1","ENSG00000145626","UGT3A1","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000135220","UGT2A3","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000213759","UGT2B11","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000135226","UGT2B28","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000109181","UGT2B10","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000167165","UGT1A6","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000288705","UGT1A5","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000244474","UGT1A4","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000288702","UGT1A3","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000242366","UGT1A8","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000242515","UGT1A10","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000244122","UGT1A7","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000241119","UGT1A9","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000171234","UGT2B7","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000156096","UGT2B4","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000271271","UGT2A2","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000173610","UGT2A1","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000196620","UGT2B15","ortholog_many2many"
"ENSDARG00000016479","UGT5A1","ENSG00000197888","UGT2B17","ortholog_many2many"
"ENSDARG00000016480","SLC17A7A","ENSG00000104888","SLC17A7","ortholog_one2many"
"ENSDARG00000016481","PTPN2A","ENSG00000175354","PTPN2","ortholog_one2many"
"ENSDARG00000016483","BAIAP2L2A","ENSG00000128298","BAIAP2L2","ortholog_one2many"
"ENSDARG00000016484","DKC1","ENSG00000130826","DKC1","ortholog_one2one"
"ENSDARG00000016490","RAB11FIP3","ENSG00000090565","RAB11FIP3","ortholog_one2one"
"ENSDARG00000016494","DDC","ENSG00000132437","DDC","ortholog_one2one"
"ENSDARG00000016496","CDK8","ENSG00000132964","CDK8","ortholog_one2one"
"ENSDARG00000016505","APBB1IP","ENSG00000077420","APBB1IP","ortholog_one2one"
"ENSDARG00000016513","SETD3","ENSG00000183576","SETD3","ortholog_one2one"
"ENSDARG00000016514","GTF2H2","ENSG00000145736","GTF2H2","ortholog_one2many"
"ENSDARG00000016514","GTF2H2","ENSG00000183474","GTF2H2C","ortholog_one2many"
"ENSDARG00000016516","RBM8A","ENSG00000265241","RBM8A","ortholog_one2one"
"ENSDARG00000016519","CTDNEP1A","ENSG00000175826","CTDNEP1","ortholog_one2many"
"ENSDARG00000016526","GATA3","ENSG00000107485","GATA3","ortholog_one2one"
"ENSDARG00000016527","HELZ2A","ENSG00000130589","HELZ2","ortholog_one2many"
"ENSDARG00000016528","WDCP","ENSG00000163026","WDCP","ortholog_one2one"
"ENSDARG00000016531","KLHL4","ENSG00000102271","KLHL4","ortholog_one2one"
"ENSDARG00000016532","SUCO","ENSG00000094975","SUCO","ortholog_one2one"
"ENSDARG00000016536","NPAS2","ENSG00000166049","PASD1","ortholog_many2many"
"ENSDARG00000016541","SASH3","ENSG00000122122","SASH3","ortholog_one2one"
"ENSDARG00000016545","CRAT","ENSG00000095321","CRAT","ortholog_one2many"
"ENSDARG00000016551","IQSEC1B","ENSG00000144711","IQSEC1","ortholog_one2many"
"ENSDARG00000016570","PRLRA","ENSG00000113494","PRLR","ortholog_one2many"
"ENSDARG00000016573","MROH1","ENSG00000179832","MROH1","ortholog_one2one"
"ENSDARG00000016584","RGS7A","ENSG00000182901","RGS7","ortholog_one2many"
"ENSDARG00000016594","HAUS4","ENSG00000092036","HAUS4","ortholog_one2one"
"ENSDARG00000016598","CKMT1","ENSG00000223572","CKMT1A","ortholog_one2many"
"ENSDARG00000016598","CKMT1","ENSG00000237289","CKMT1B","ortholog_one2many"
"ENSDARG00000016607","ECHDC2","ENSG00000121310","ECHDC2","ortholog_one2one"
"ENSDARG00000016611","SCRN3","ENSG00000144306","SCRN3","ortholog_one2one"
"ENSDARG00000016613","MCAT","ENSG00000100294","MCAT","ortholog_one2one"
"ENSDARG00000016630","TPRB","ENSG00000047410","TPR","ortholog_one2many"
"ENSDARG00000016649","AKR7A3","ENSG00000211454","AKR7L","ortholog_one2one"
"ENSDARG00000016651","ZNF106A","ENSG00000103994","ZNF106","ortholog_one2many"
"ENSDARG00000016656","MGME1","ENSG00000125871","MGME1","ortholog_one2one"
"ENSDARG00000016664","RNF20","ENSG00000155827","RNF20","ortholog_one2one"
"ENSDARG00000016667","GABBR1B","ENSG00000204681","GABBR1","ortholog_one2many"
"ENSDARG00000016676","GNAO1A","ENSG00000087258","GNAO1","ortholog_one2many"
"ENSDARG00000016687","ACADVL","ENSG00000072778","ACADVL","ortholog_one2one"
"ENSDARG00000016695","P2RX1","ENSG00000108405","P2RX1","ortholog_one2one"
"ENSDARG00000016699","TRPA1A","ENSG00000104321","TRPA1","ortholog_one2many"
"ENSDARG00000016704","PBLD","ENSG00000108187","PBLD","ortholog_one2many"
"ENSDARG00000016706","ATIC","ENSG00000138363","ATIC","ortholog_one2one"
"ENSDARG00000016710","RCHY1","ENSG00000163743","RCHY1","ortholog_one2one"
"ENSDARG00000016718","MMP11B","ENSG00000099953","MMP11","ortholog_one2many"
"ENSDARG00000016721","SDHA","ENSG00000073578","SDHA","ortholog_one2one"
"ENSDARG00000016725","GADD45GB.1","ENSG00000130222","GADD45G","ortholog_one2many"
"ENSDARG00000016730","RFXANK","ENSG00000064490","RFXANK","ortholog_one2one"
"ENSDARG00000016733","PSAT1","ENSG00000135069","PSAT1","ortholog_one2one"
"ENSDARG00000016739","LRRC4CB","ENSG00000148948","LRRC4C","ortholog_one2many"
"ENSDARG00000016742","RGS7BPB","ENSG00000186479","RGS7BP","ortholog_one2many"
"ENSDARG00000016743","ANGEL2","ENSG00000174606","ANGEL2","ortholog_one2one"
"ENSDARG00000016745","SLC35F6","ENSG00000213699","SLC35F6","ortholog_one2one"
"ENSDARG00000016749","SLCO1C1","ENSG00000139155","SLCO1C1","ortholog_one2one"
"ENSDARG00000016750","ABCC6A","ENSG00000124574","ABCC10","ortholog_many2many"
"ENSDARG00000016750","ABCC6A","ENSG00000121270","ABCC11","ortholog_many2many"
"ENSDARG00000016753","IPO9","ENSG00000198700","IPO9","ortholog_one2one"
"ENSDARG00000016754","TBCA","ENSG00000171530","TBCA","ortholog_one2one"
"ENSDARG00000016763","ZNF292A","ENSG00000188994","ZNF292","ortholog_one2many"
"ENSDARG00000016765","SCAMP3","ENSG00000116521","SCAMP3","ortholog_one2one"
"ENSDARG00000016769","SGTB","ENSG00000197860","SGTB","ortholog_one2one"
"ENSDARG00000016771","TFA","ENSG00000012223","LTF","ortholog_one2one"
"ENSDARG00000016773","CISHB","ENSG00000114737","CISH","ortholog_one2many"
"ENSDARG00000016774","PLEKHO2","ENSG00000241839","PLEKHO2","ortholog_one2one"
"ENSDARG00000016775","AQR","ENSG00000021776","AQR","ortholog_one2one"
"ENSDARG00000016782","HUWE1","ENSG00000086758","HUWE1","ortholog_one2one"
"ENSDARG00000016783","SRSF6B","ENSG00000124193","SRSF6","ortholog_one2many"
"ENSDARG00000016788","ZEB1A","ENSG00000148516","ZEB1","ortholog_one2many"
"ENSDARG00000016794","MTMR6","ENSG00000139505","MTMR6","ortholog_one2one"
"ENSDARG00000016809","PRKACAB","ENSG00000072062","PRKACA","ortholog_many2many"
"ENSDARG00000016809","PRKACAB","ENSG00000165059","PRKACG","ortholog_many2many"
"ENSDARG00000016809","PRKACAB","ENSG00000142875","PRKACB","ortholog_many2many"
"ENSDARG00000016811","INTS3","ENSG00000143624","INTS3","ortholog_one2one"
"ENSDARG00000016815","DNAI7","ENSG00000118307","DNAI7","ortholog_one2one"
"ENSDARG00000016830","RIMKLA","ENSG00000177181","RIMKLA","ortholog_one2one"
"ENSDARG00000016835","TCIRG1A","ENSG00000110719","TCIRG1","ortholog_one2many"
"ENSDARG00000016837","GLIPR2L","ENSG00000122694","GLIPR2","ortholog_one2one"
"ENSDARG00000016854","NEUROD2","ENSG00000171532","NEUROD2","ortholog_one2one"
"ENSDARG00000016855","SF3B5","ENSG00000169976","SF3B5","ortholog_one2one"
"ENSDARG00000016856","PON2","ENSG00000105852","PON3","ortholog_many2many"
"ENSDARG00000016856","PON2","ENSG00000005421","PON1","ortholog_many2many"
"ENSDARG00000016856","PON2","ENSG00000105854","PON2","ortholog_many2many"
"ENSDARG00000016858","SMAD7","ENSG00000101665","SMAD7","ortholog_one2one"
"ENSDARG00000016864","FARSB","ENSG00000116120","FARSB","ortholog_one2one"
"ENSDARG00000016866","EEIG1B","ENSG00000167106","EEIG1","ortholog_one2many"
"ENSDARG00000016867","RNF128A","ENSG00000133135","RNF128","ortholog_one2one"
"ENSDARG00000016871","SMARCE1","ENSG00000073584","SMARCE1","ortholog_one2one"
"ENSDARG00000016875","GYS1","ENSG00000104812","GYS1","ortholog_one2one"
"ENSDARG00000016886","DNAJB9B","ENSG00000128590","DNAJB9","ortholog_one2many"
"ENSDARG00000016889","EIF3G","ENSG00000130811","EIF3G","ortholog_one2one"
"ENSDARG00000016897","FBXO15","ENSG00000141665","FBXO15","ortholog_one2many"
"ENSDARG00000016903","WDR5","ENSG00000196363","WDR5","ortholog_one2many"
"ENSDARG00000016903","WDR5","ENSG00000196981","WDR5B","ortholog_one2many"
"ENSDARG00000016904","BCKDK","ENSG00000103507","BCKDK","ortholog_one2one"
"ENSDARG00000016908","ZP3E","ENSG00000146707","POMZP3","ortholog_many2many"
"ENSDARG00000016908","ZP3E","ENSG00000188372","ZP3","ortholog_many2many"
"ENSDARG00000016918","ACE2","ENSG00000130234","ACE2","ortholog_one2one"
"ENSDARG00000016934","TTYH2","ENSG00000141540","TTYH2","ortholog_one2many"
"ENSDARG00000016936","HMCN1","ENSG00000143341","HMCN1","ortholog_one2many"
"ENSDARG00000016939","ITGB2","ENSG00000160255","ITGB2","ortholog_one2one"
"ENSDARG00000016951","NEUROG3","ENSG00000122859","NEUROG3","ortholog_one2one"
"ENSDARG00000016963","SLC16A1A","ENSG00000155380","SLC16A1","ortholog_one2many"
"ENSDARG00000016964","MCUR1","ENSG00000050393","MCUR1","ortholog_one2one"
"ENSDARG00000016968","TMEM214","ENSG00000119777","TMEM214","ortholog_one2one"
"ENSDARG00000016977","SNX27B","ENSG00000143376","SNX27","ortholog_one2many"
"ENSDARG00000016979","PMPCB","ENSG00000105819","PMPCB","ortholog_one2one"
"ENSDARG00000016981","BCAR3","ENSG00000137936","BCAR3","ortholog_one2one"
"ENSDARG00000016994","SSRP1B","ENSG00000149136","SSRP1","ortholog_one2many"
"ENSDARG00000016999","LIN28AB","ENSG00000131914","LIN28A","ortholog_one2many"
"ENSDARG00000017004","MYO10","ENSG00000145555","MYO10","ortholog_one2one"
"ENSDARG00000017006","DENND5A","ENSG00000184014","DENND5A","ortholog_one2one"
"ENSDARG00000017007","NR4A2A","ENSG00000153234","NR4A2","ortholog_one2one"
"ENSDARG00000017010","SCAMP2L","ENSG00000140497","SCAMP2","ortholog_one2many"
"ENSDARG00000017023","AK7B","ENSG00000140057","AK7","ortholog_one2many"
"ENSDARG00000017034","SQOR","ENSG00000137767","SQOR","ortholog_one2one"
"ENSDARG00000017037","IKBKG","ENSG00000269335","IKBKG","ortholog_one2one"
"ENSDARG00000017047","SLC27A4","ENSG00000167114","SLC27A4","ortholog_one2one"
"ENSDARG00000017049","ADSL","ENSG00000239900","ADSL","ortholog_one2one"
"ENSDARG00000017055","ZMYND12","ENSG00000066185","ZMYND12","ortholog_one2one"
"ENSDARG00000017058","LARGE2","ENSG00000165905","LARGE2","ortholog_one2one"
"ENSDARG00000017067","CHORDC1B","ENSG00000110172","CHORDC1","ortholog_one2many"
"ENSDARG00000017078","MESPAA","ENSG00000188095","MESP2","ortholog_many2many"
"ENSDARG00000017078","MESPAA","ENSG00000166823","MESP1","ortholog_many2many"
