"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","HPMR.Ligand","HPMR.Receptor","Pair.Source","Pair.Evidence","pathway_name","annotation","match_status"
"CCL14_ACKR1","CCL14",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL16_ACKR1","CCL16",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL18_ACKR1","CCL18",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CXCL1_ACKR1","CXCL1",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL2_ACKR1","CXCL2",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL3_ACKR1","CXCL3",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL5_ACKR1","CXCL5",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL6_ACKR1","CXCL6",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL8_ACKR1","CXCL8",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL9_ACKR1","CXCL9",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL10_ACKR1","CXCL10",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL11_ACKR1","CXCL11",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL13_ACKR1","CXCL13",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CCL2_ACKR2","CCL2",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL3_ACKR2","CCL3",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL3L1_ACKR2","CCL3L1",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL4_ACKR2","CCL4",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL5_ACKR2","CCL5",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL7_ACKR2","CCL7",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL8_ACKR2","CCL8",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL7_ACKR1","CCL7",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL11_ACKR1","CCL11",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL11_ACKR2","CCL11",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL13_ACKR2","CCL13",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL22_ACKR2","CCL22",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL24_ACKR2","CCL24",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL26_ACKR2","CCL26",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL17_ACKR1","CCL17",NA,"ACKR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL14_ACKR2","CCL14",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CCL17_ACKR2","CCL17",NA,"ACKR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CCL","Secreted Signaling","added"
"CXCL2_CXCR1","CXCL2",NA,"CXCR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL3_CXCR1","CXCL3",NA,"CXCR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL5_CXCR1","CXCL5",NA,"CXCR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL6_CXCR1","CXCL6",NA,"CXCR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL1_CXCR2","CXCL1",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL2_CXCR2","CXCL2",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL3_CXCR2","CXCL3",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL5_CXCR2","CXCL5",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL6_CXCR2","CXCL6",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL8_CXCR2","CXCL8",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"PPBP_CXCR2","PPBP",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"PF4V1_CXCR3","PF4V1",NA,"CXCR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL9_CXCR3","CXCL9",NA,"CXCR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL10_CXCR3","CXCL10",NA,"CXCR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL11_CXCR3","CXCL11",NA,"CXCR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL13_CXCR3","CXCL13",NA,"CXCR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"PF4_CXCR3","PF4",NA,"CXCR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL12_CXCR4","CXCL12",NA,"CXCR4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL11_ACKR3","CXCL11",NA,"ACKR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL12_ACKR3","CXCL12",NA,"ACKR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL13_CXCR5","CXCL13",NA,"CXCR5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"CXCL16_CXCR6","CXCL16",NA,"CXCR6",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CXCL","Secreted Signaling","added"
"MIF_CXCR4","MIF",NA,"CXCR4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","MIF","Secreted Signaling","added"
"MIF_CD44","MIF",NA,"CD44",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","MIF","Secreted Signaling","added"
"MIF_CXCR2","MIF",NA,"CXCR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","MIF","Secreted Signaling","added"
"MIF_ACKR3","MIF",NA,"ACKR3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","MIF","Secreted Signaling","added"
"CX3CL1_CX3CR1","CX3CL1",NA,"CX3CR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CX3C","Secreted Signaling","added"
"XCL1_XCR1","XCL1",NA,"XCR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","XCR","Secreted Signaling","added"
"XCL2_XCR1","XCL2",NA,"XCR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","XCR","Secreted Signaling","added"
"IL2_IL2RA","IL2",NA,"IL2RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL4_IL2RG","IL4",NA,"IL2RG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL7_IL2RG","IL7",NA,"IL2RG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL7_IL7R","IL7",NA,"IL7R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL9_IL2RG","IL9",NA,"IL2RG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL9_IL9R","IL9",NA,"IL9R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL15_IL15RA","IL15",NA,"IL15RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL15_IL2RB","IL15",NA,"IL2RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL15_IL2RG","IL15",NA,"IL2RG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL21_IL2RG","IL21",NA,"IL2RG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL21_IL21R","IL21",NA,"IL21R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"TSLP_CRLF2","TSLP",NA,"CRLF2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"TSLP_IL7R","TSLP",NA,"IL7R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL2","Secreted Signaling","added"
"IL3_IL3RA","IL3",NA,"IL3RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"IL3_CSF2RB","IL3",NA,"CSF2RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"IL5_CSF2RB","IL5",NA,"CSF2RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"IL5_IL5RA","IL5",NA,"IL5RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"CSF2_CSF2RB","CSF2",NA,"CSF2RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"CSF2_CSF2RA","CSF2",NA,"CSF2RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"IL4_IL13RA1","IL4",NA,"IL13RA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"IL4_IL13RA2","IL4",NA,"IL13RA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL4","Secreted Signaling","added"
"IL6_IL6ST","IL6",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL6","Secreted Signaling","added"
"IL6_IL6R","IL6",NA,"IL6R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL6","Secreted Signaling","added"
"IL11_IL11RA","IL11",NA,"IL11RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL6","Secreted Signaling","added"
"IL11_IL6ST","IL11",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL6","Secreted Signaling","added"
"IL12B_IL12RB2","IL12B",NA,"IL12RB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL12A_IL12RB1","IL12A",NA,"IL12RB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL12A_IL12RB2","IL12A",NA,"IL12RB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL12B_IL23R","IL12B",NA,"IL23R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL23A_IL12RB1","IL23A",NA,"IL12RB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL23A_IL23R","IL23A",NA,"IL23R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL27_IL27RA","IL27",NA,"IL27RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL27_IL6ST","IL27",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"EBI3_IL27RA","EBI3",NA,"IL27RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"EBI3_IL6ST","EBI3",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL12","Secreted Signaling","added"
"IL31_IL31RA","IL31",NA,"IL31RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL6","Secreted Signaling","added"
"IL31_OSMR","IL31",NA,"OSMR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL6","Secreted Signaling","added"
"CNTF_IL6ST","CNTF",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"CNTF_LIFR","CNTF",NA,"LIFR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"CNTF_CNTFR","CNTF",NA,"CNTFR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"CLCF1_IL6ST","CLCF1",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"CLCF1_LIFR","CLCF1",NA,"LIFR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"CLCF1_CNTFR","CLCF1",NA,"CNTFR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"CTF1_IL6ST","CTF1",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"CTF1_LIFR","CTF1",NA,"LIFR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"LIF_IL6ST","LIF",NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"LIF_LIFR","LIF",NA,"LIFR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","LIFR","Secreted Signaling","added"
"OSM_LIFR","OSM",NA,"LIFR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","OSM","Secreted Signaling","added"
"OSM_OSMR","OSM",NA,"OSMR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","OSM","Secreted Signaling","added"
"IL10_IL10RA","IL10",NA,"IL10RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL10_IL10RB","IL10",NA,"IL10RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL19_IL20RA","IL19",NA,"IL20RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL19_IL20RB","IL19",NA,"IL20RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL20_IL20RA","IL20",NA,"IL20RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL24_IL20RA","IL24",NA,"IL20RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL20_IL22RA1","IL20",NA,"IL22RA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL24_IL22RA1","IL24",NA,"IL22RA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL22_IL10RB","IL22",NA,"IL10RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL22_IL22RA1","IL22",NA,"IL22RA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL26_IL10RB","IL26",NA,"IL10RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL26_IL20RA","IL26",NA,"IL20RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL10","Secreted Signaling","added"
"IL1A_IL1RAP","IL1A",NA,"IL1RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL1A_IL1R1","IL1A",NA,"IL1R1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL1B_IL1RAP","IL1B",NA,"IL1RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL1B_IL1R1","IL1B",NA,"IL1R1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL1A_IL1R2","IL1A",NA,"IL1R2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL1B_IL1R2","IL1B",NA,"IL1R2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL36A_IL1RAP","IL36A",NA,"IL1RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL36A_IL1RL2","IL36A",NA,"IL1RL2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL36B_IL1RAP","IL36B",NA,"IL1RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL36B_IL1RL2","IL36B",NA,"IL1RL2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL36G_IL1RAP","IL36G",NA,"IL1RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL36G_IL1RL2","IL36G",NA,"IL1RL2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL1F10_IL1RAP","IL1F10",NA,"IL1RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL1F10_IL1RL2","IL1F10",NA,"IL1RL2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL37_IL18RAP","IL37",NA,"IL18RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL37_IL18R1","IL37",NA,"IL18R1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL18_IL18RAP","IL18",NA,"IL18RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL18_IL18R1","IL18",NA,"IL18R1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL33_IL1RAP","IL33",NA,"IL1RAP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL33_IL1RL1","IL33",NA,"IL1RL1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL1","Secreted Signaling","added"
"IL17B_IL17RB","IL17B",NA,"IL17RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL17","Secreted Signaling","added"
"IL17C_IL17RA","IL17C",NA,"IL17RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL17","Secreted Signaling","added"
"IL17C_IL17RE","IL17C",NA,"IL17RE",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL17","Secreted Signaling","added"
"IL25_IL17RA","IL25",NA,"IL17RA",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL17","Secreted Signaling","added"
"IL25_IL17RB","IL25",NA,"IL17RB",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL17","Secreted Signaling","added"
"IL34_CSF1R","IL34",NA,"CSF1R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CSF","Secreted Signaling","added"
"CSF1_CSF1R","CSF1",NA,"CSF1R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CSF","Secreted Signaling","added"
"IL16_CD4","IL16",NA,"CD4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IL16","Secreted Signaling","added"
"EPO_EPOR","EPO",NA,"EPOR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","EPO","Secreted Signaling","added"
"GH1_GHR","GH1",NA,"GHR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GH","Secreted Signaling","added"
"PRL_PRLR","PRL",NA,"PRLR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PRL","Secreted Signaling","added"
"THPO_MPL","THPO",NA,"MPL",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","THPO","Secreted Signaling","added"
"CSF3_CSF3R","CSF3",NA,"CSF3R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CSF3","Secreted Signaling","added"
"IFNB1_IFNAR1","IFNB1",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNB1_IFNAR2","IFNB1",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNW1_IFNAR1","IFNW1",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNW1_IFNAR2","IFNW1",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNK_IFNAR1","IFNK",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNK_IFNAR2","IFNK",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNE_IFNAR1","IFNE",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNE_IFNAR2","IFNE",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA1_IFNAR1","IFNA1",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA1_IFNAR2","IFNA1",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA2_IFNAR1","IFNA2",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA2_IFNAR2","IFNA2",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA4_IFNAR1","IFNA4",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA4_IFNAR2","IFNA4",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA5_IFNAR1","IFNA5",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA5_IFNAR2","IFNA5",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA6_IFNAR1","IFNA6",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA6_IFNAR2","IFNA6",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA7_IFNAR1","IFNA7",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA7_IFNAR2","IFNA7",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA8_IFNAR1","IFNA8",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA8_IFNAR2","IFNA8",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA10_IFNAR1","IFNA10",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA10_IFNAR2","IFNA10",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA13_IFNAR1","IFNA13",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA13_IFNAR2","IFNA13",NA,"IFNAR2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
"IFNA14_IFNAR1","IFNA14",NA,"IFNAR1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","IFN-I","Secreted Signaling","added"
